name,add,Latitude,Longitude,Document
George Hislop Park,20 Isabella St,43.66872134300,-79.38522564300,Water Fountains
Jesse Ketchum Park,1310 Bay St,43.67261276700,-79.39097600800,Water Fountains
Mcgill Parkette,415 Yonge St,43.65995677200,-79.38169429500,Water Fountains
Milner Parkette,675 Church St,43.67233537900,-79.38366238500,Water Fountains
Parliament Square Park,44 Parliament St,43.64954909300,-79.36287905400,Water Fountains
Pricefield Road Playground,50 Pricefield Rd,43.68119617300,-79.38842450200,Water Fountains
Ramsden Park,1020 Yonge St,43.67635655100,-79.39045141100,Water Fountains
Sackville Playground,420 King St E,43.65445203600,-79.36079037800,Water Fountains
Trinity Square,19 Trinity Sq,43.65453920500,-79.38193946900,Water Fountains
Wellesley Park,500 Wellesley St E,43.66961349200,-79.36282326800,Water Fountains
Moorevale Park,175 Moore Ave,43.69354590000,-79.38204759300,Water Fountains
Winchester Park,530 Ontario St,43.66641818900,-79.37186216200,Water Fountains
Coronation Park - Toronto,711 Lake Shore Blvd W,43.63414595600,-79.40461199000,Water Fountains
Marilyn Bell Park,1095 Lake Shore Blvd W,43.63128311800,-79.43052547100,Water Fountains
Little Norway Park,659 Queens QuayW,43.63447558900,-79.39768233700,Water Fountains
Little Norway Park,659 Queens QuayW,43.63372346300,-79.39805456500,Water Fountains
Sugar Beach Park,11 Dockside Dr,43.64302031500,-79.36698545800,Water Fountains
Hto Park West,375 Queens QuayW,43.63778818300,-79.39000790000,Water Fountains
Gwendolen Park,3 Gwendolen Cres,43.75122324200,-79.42020751900,Water Fountains
Glendora Park,201 Glendora Ave,43.76173589100,-79.39950780100,Water Fountains
Empress Parkette,433 Empress Ave,43.77389501100,-79.39022706600,Water Fountains
Duncan Creek Park,3700 Don Mills Rd,43.80605161800,-79.36320886500,Water Fountains
Centre Park,15 Centre Ave,43.79134656900,-79.41735440400,Water Fountains
Bowan Court Parkette,12 Bowan Crt,43.79574359300,-79.39257590900,Water Fountains
Saddletree Park,50 Saddletree Dr,43.80496448600,-79.37722046400,Water Fountains
Bond Park,120 Bond Ave,43.74581814400,-79.35208767600,Water Fountains
Southwell Park,25 Southwell Dr,43.74694283800,-79.35588672000,Water Fountains
Shawnee Park,81 Shawnee Crcl,43.79701302100,-79.33863649300,Water Fountains
Muirhead Park,65 Muirhead Rd,43.77994355700,-79.33731851700,Water Fountains
Alexander Muir Memorial Gardens,2901 Yonge St,43.72086250100,-79.39984930400,Water Fountains
St. Clements - Yonge Parkette,14 St Clements Ave,43.71320176300,-79.40005419400,Water Fountains
Hickorynut Parkette,87 Hickorynut Dr,43.77509211000,-79.32646533100,Water Fountains
Linus Park,125 Seneca Hill Dr,43.78832921900,-79.35846778400,Water Fountains
Leslie Park,5200 Leslie St,43.78490960500,-79.36745349500,Water Fountains
Clydesdale Park,116 Clydesdale Dr,43.78343815600,-79.32942000400,Water Fountains
Sunnybrook Park,1132 Leslie St,43.72344016900,-79.36373079300,Water Fountains
Sandown Park,50 Natal Ave,43.70942874600,-79.25322535600,Water Fountains
